Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_5D,Return_20D,LogReturn,SMA_20,SMA_50,EMA_12,EMA_26,Momentum_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Z,BB_Width,ATR_14,RangePct,Volatility_20D,Drawdown,Volume_Z,RSI_Signal,Trend_Signal,MACD_Signal_Flag,Breakout_Signal,TechnicalScore,BaseDirection,TechnicalConfidence,FinalAction,PositionSize,FinalConfidence,RiskZone,pm_hist_liq_weighted_sentiment,pm_hist_net_sentiment,pm_hist_mean_price,rolling_mean,signal
2024-03-28,3561.2939453125,3561.2939453125,3609.705322265625,3465.332275390625,3500.216064453125,16419674157,,,,,,,3561.2939453125,3561.2939453125,,,0.0,0.0,0.0,,,,,,0.04053949185099671,,0.0,,0,0,0,0,0.0,Flat,0.0,No Trade,0.0,9.763686182634018,Tradeable,0.0,0.0,0.5,,0
2024-03-29,3511.80615234375,3511.80615234375,3583.701416015625,3475.7255859375,3561.01171875,12712701619,-0.013896014686989755,,,-0.013993468162303119,,,3553.680438701923,3557.6281828703704,,,-3.9477441684475707,-0.7895488336895142,-3.1581953347580565,,,,,,0.030746523411055257,,-0.013896014686989755,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,23.324164109859332,Tradeable,0.0,0.0,0.5,,0
2024-03-30,3507.9443359375,3507.9443359375,3566.08447265625,3489.902099609375,3511.82763671875,9389066783,-0.0010996667352133338,,,-0.0011002718123070431,,,3546.644115199704,3553.94789791238,,,-7.303782712675911,-2.0923956094867937,-5.211387103189118,,,,,,0.02171709860570385,,-0.014980400437099695,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,23.390693526163908,Tradeable,0.0,0.0,0.5,,0
2024-03-31,3647.8564453125,3647.8564453125,3655.218994140625,3507.24267578125,3507.95166015625,10499881424,0.03988435846648297,,,0.03910951318856647,,,3562.2152429093653,3560.9040866086852,,,1.311156300680068,-1.4116852274534215,2.7228415281334897,,,,,,0.040565280070032565,,0.0,,0,0,1,0,0.25,Long,25.0,No Trade,0.0,23.252905544916867,Tradeable,0.0,0.0,0.5,,0
2024-04-01,3505.030029296875,3505.030029296875,3648.129150390625,3418.6953125,3647.819580078125,16002098681,-0.03915351882861429,,,-0.03994063181430367,,,3553.417517738213,3556.765267548551,,,-3.347749810337973,-1.798898144030332,-1.548851666307641,,,,,,0.06545845141779012,,-0.03915351882861429,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,22.974010539211825,Tradeable,0.0,0.0,0.5,,0
2024-04-02,3277.234619140625,3277.234619140625,3506.962890625,3215.985107421875,3504.818359375,22076539151,-0.0649910010049034,-0.07976295428962377,,-0.06719912514607995,,,3510.9278410308916,3536.0592935924083,,,-25.131452561516653,-6.465409027527596,-18.666043533989058,,,,,,0.08878759595168284,,-0.10159989345198173,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,22.36524799110787,Tradeable,0.0,0.0,0.5,,0
2024-04-03,3311.44189453125,3311.44189453125,3368.111572265625,3205.649169921875,3277.32421875,16010734587,0.010437847565395009,-0.057054475423929274,,0.010383749354783272,,,3480.237695415562,3519.4209677360263,,,-39.18327232046431,-13.008981686114941,-26.17429063434937,,,,,,0.049060924974118354,,-0.09222253008709902,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,22.764165095842642,Tradeable,0.0,0.0,0.5,,0
2024-04-04,3330.04052734375,3330.04052734375,3443.20751953125,3253.3193359375,3311.495361328125,14476330517,0.00561647566373269,-0.05071454719825397,,0.0056007620735010885,,,3457.1304387891296,3505.392786966228,,,-48.262348177098374,-20.059654984311628,-28.202693192786747,,,,,,0.057022784568095564,,-0.08712402001924824,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,22.82542698870378,Tradeable,0.0,0.0,0.5,,0
2024-04-05,3318.88525390625,3318.88525390625,3345.66650390625,3214.244140625,3330.005859375,15214447092,-0.0033498911937862585,-0.09018205522560474,,-0.003355514641428632,,,3435.861948807148,3491.57741414697,,,-55.715465339822,-27.190817055413703,-28.5246482844083,,,,,,0.03959834499447336,,-0.09018205522560474,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,22.81286688656397,Tradeable,0.0,0.0,0.5,,0
2024-04-06,3354.183837890625,3354.183837890625,3397.592529296875,3308.9833984375,3318.86474609375,8956926798,0.010635674717235144,-0.043037061065211546,,0.010579513784222233,,,3423.2960855892215,3481.400112202056,,,-58.10402661283433,-33.37345896689783,-24.730567645936503,,,,,,0.026417493835132005,,-0.08050552751308093,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,22.831915587235567,Tradeable,0.0,0.0,0.5,,0
